epoch,accuracy,loss,val_accuracy,val_loss
0,0.08560793846845627,4.208969593048096,0.016129031777381897,4.304245948791504
1,0.35856080055236816,2.6915159225463867,0.016129031777381897,4.440526008605957
2,0.6799007654190063,1.6376667022705078,0.016129031777381897,4.537552356719971
3,0.8870967626571655,0.9625224471092224,0.016129031777381897,4.774554252624512
4,0.9640198349952698,0.5953794121742249,0.02688172087073326,4.773315906524658
5,0.9826302528381348,0.40360939502716064,0.032258063554763794,4.646628379821777
6,0.9937965273857117,0.2782861888408661,0.037634409964084625,4.664738655090332
7,1.0,0.19308236241340637,0.04838709533214569,4.472828388214111
8,0.9975185990333557,0.15494021773338318,0.04301075264811516,4.555271148681641
9,1.0,0.12644381821155548,0.05376344174146652,4.026173114776611
10,0.9987593293190002,0.10154294967651367,0.07526881992816925,3.7540860176086426
11,1.0,0.10483302175998688,0.12365591526031494,3.3474690914154053
12,1.0,0.09347373247146606,0.1989247351884842,2.9924864768981934
13,1.0,0.06807529926300049,0.39247313141822815,2.3221242427825928
14,0.9975185990333557,0.07754307985305786,0.5967742204666138,1.996700644493103
15,1.0,0.057369429618120193,0.7956989407539368,1.3124184608459473
16,1.0,0.05258164182305336,0.8655914068222046,1.1128932237625122
17,1.0,0.04273463785648346,0.9516128897666931,0.7406138181686401
18,1.0,0.03734944760799408,0.9677419066429138,0.5307171940803528
19,1.0,0.03519072011113167,0.9731183052062988,0.40671417117118835
20,1.0,0.03177136555314064,0.9784946441650391,0.2789922058582306
21,1.0,0.03140813484787941,0.9784946441650391,0.2295018881559372
22,1.0,0.026632683351635933,0.9838709831237793,0.20021197199821472
23,1.0,0.028964102268218994,0.9838709831237793,0.16868509352207184
24,1.0,0.02864849753677845,0.9784946441650391,0.17054499685764313
25,1.0,0.021860867738723755,0.9784946441650391,0.15509961545467377
26,1.0,0.023258181288838387,0.9784946441650391,0.15263591706752777
27,1.0,0.021001052111387253,0.9784946441650391,0.13924024999141693
28,1.0,0.02095375768840313,0.9838709831237793,0.12285690009593964
29,1.0,0.01432223804295063,0.9838709831237793,0.11904440820217133
30,1.0,0.01612010970711708,0.9838709831237793,0.11404675990343094
31,1.0,0.015751346945762634,0.9784946441650391,0.11938704550266266
32,1.0,0.013603071682155132,0.9784946441650391,0.11724019050598145
